name,municipality
Gymnázium Františka Švantnera,Nová Baňa
Gymnázium Hansa Selyeho s vyučovacím jazykom maďarským - Selye János Gimnázium,Komárno
Gymnázium Imre Madácha s vyučovacím jazykom maďarským - Madách Imre Magyar Tanítási Nyelvű Gimnázium,Šamorín
Gymnázium Ivana Horvátha,Bratislava-Ružinov
Gymnázium Ivana Kraska - Ivan Krasko Gimnázium a Obchodná akadémia - Kereskedelmi Akadémia,Rimavská Sobota
Gymnázium Ivana Kupca,Hlohovec
Gymnázium Janka Francisciho - Rimavského,Levoča
Gymnázium Janka Jesenského,Bánovce nad Bebravou
Gymnázium Janka Kráľa,Zlaté Moravce
Gymnázium Janka Matúšku,Galanta
Gymnázium Jozefa Cígera Hronského ako organizačná zložka Spojenej školy,Vrútky
Gymnázium Jozefa Gregora Tajovského,Banská Bystrica
Gymnázium Jozefa Lettricha,Martin
Gymnázium Jozefa Miloslava Hurbana,Čadca
Gymnázium Juraja Fándlyho,Šaľa
"Gymnázium Juraja Szondyho s vyučovacím jazykom maďarským - Szondy György Gimnázium, ako org.zložka Základná škola Lajosa",Šahy
Gymnázium Jána Adama Raymana,Prešov
Gymnázium Jána Baltazára Magina,Vrbové
Gymnázium Jána Chalupku,Brezno
Gymnázium Jána Hollého,Trnava
Gymnázium Jána Papánka,Bratislava-Staré Mesto
Gymnázium Karola Štúra,Modra
Gymnázium Kráľovnej pokoja ako organizačná zložka Spojenej školy Kraľovnej pokoja,Žilina
Gymnázium Ladislava Dúbravu,Dunajská Streda
Gymnázium Ladislava Novomeského (Bratislava-Ružinov),Bratislava-Ružinov
Gymnázium Ladislava Novomeského (Senica),Senica
Gymnázium Leonarda Stöckela,Bardejov
Gymnázium M. Galandu ako organizačná zložka Spojenej školy,Turčianske Teplice
Gymnázium M. R. Štefánika,Nové Mesto nad Váhom
Gymnázium M.R. Štefánika ako organizačná zložka Gymnázia M. R. Štefánika a Základnej školy,Šamorín
Gymnázium Martina Hattalu,Trstená
Gymnázium Martina Kukučína a Stredná odborná škola,Revúca
Gymnázium Matky Alexie,Bratislava-Staré Mesto
Gymnázium Michala Miloslava Hodžu,Liptovský Mikuláš
Gymnázium Mihálya Tompu Reformovanej kresťanskej cirkvi s vyučovacím jazykom maďarským - Tompa Mihály Református Gimnázi,Rimavská Sobota
Gymnázium Mikuláša Kováča,Banská Bystrica
Gymnázium Milana Rastislava Štefánika,Košice-Staré Mesto
Gymnázium Milana Rúfusa,Žiar nad Hronom
Gymnázium Pavla Horova,Michalovce
Gymnázium Pavla Jozefa Šafárika - Pavol Jozef Šafárik Gimnázium,Rožňava
Gymnázium Pavla Országha Hviezdoslava (Dolný Kubín),Dolný Kubín
Gymnázium Pavla Országha Hviezdoslava (Kežmarok),Kežmarok
Gymnázium Petra Pázmáňa s vyučovacím jazykom maďarským - Pázmány Péter Gimnázium,Nové Zámky
Gymnázium Pierra de Coubertina,Piešťany
Gymnázium sv. Andreja,Ružomberok
Gymnázium sv. Cyrila a Metoda ako organizačná zložka Cirkevnej spojenej školy (Humenné),Humenné
Gymnázium sv. Cyrila a Metoda ako organizačná zložka Cirkevnej spojenej školy (Snina),Snina
Gymnázium sv. Edity Steinovej,Košice-Dargovských hrdino
Gymnázium sv. Františka Assiského,Levoča
"Gymnázium sv. Františka Assiského, ako organizačná zložka Spojenej školy sv. Františka Assiského",Malacky
Gymnázium sv. Františka z Assisi,Žilina
"Gymnázium sv. Františka z Assisi, ako organizačná zložka Spojenej školy sv. Františka z Assisi",Bratislava-Karlova Ves
Gymnázium sv. Jána Bosca ako organizačná zložka Cirkevnej spojenej školy,Bardejov
Gymnázium sv. Jána Zlatoústeho,Humenné
Gymnázium sv. Košických mučeníkov ako organizačná zložka Spojenej školy sv. Košických mučeníkov,Košice-Sídlisko KVP
Gymnázium sv. Mikuláša ako organizačná zložka Katolíckej spojenenej školy sv. Mikuláša,Prešov
Gymnázium sv. Mikuláša ako organizačná zložka Spojenej školy,Stará Ľubovňa
Gymnázium sv. Moniky,Prešov
Gymnázium sv. Tomáša Akvinského,Košice-Staré Mesto
Gymnázium sv. Uršule ako organizačná zložka Spojenej školy sv. Uršule,Bratislava-Staré Mesto
Gymnázium sv. Vincenta de Paul ako organizačná zložka Katolíckej spojenej školy sv. Vincenta de Paul,Levice
"Gymnázium Svätej Rodiny, ako organizačná zložka Spojenej školy Svätej Rodiny",Bratislava-Petržalka
Gymnázium Terézie Vansovej,Stará Ľubovňa
