name,municipality
Stredná odborná škola pedagogická sv. Márie Goretti,Čadca
Stredná odborná škola podnikania a služieb (Lipany),Lipany
Stredná odborná škola podnikania a služieb (Námestovo),Námestovo
Stredná odborná škola podnikania a služieb (Žilina),Žilina
Stredná odborná škola podnikania v remeslách a službách,Senica
Stredná odborná škola polygrafická,Bratislava-Rača
Stredná odborná škola polytechnická (Dolný Kubín),Dolný Kubín
Stredná odborná škola polytechnická (Humenné),Humenné
Stredná odborná škola polytechnická (Martin),Martin
Stredná odborná škola polytechnická (Prievidza),Prievidza
Stredná odborná škola polytechnická (Ružomberok),Ružomberok
Stredná odborná škola polytechnická (Zlaté Moravce),Zlaté Moravce
Stredná odborná škola polytechnická a služieb arm. gen. L. Svobodu,Svidník
Stredná odborná škola polytechnická Jána Antonína Baťu,Svit
Stredná odborná škola potravinárska,Nitra
Stredná odborná škola poľnohospodárstva a služieb na vidieku (Košice-Juh),Košice-Juh
Stredná odborná škola poľnohospodárstva a služieb na vidieku (Levice),Levice
Stredná odborná škola poľnohospodárstva a služieb na vidieku (Trnava),Trnava
Stredná odborná škola poľnohospodárstva a služieb na vidieku (Žilina),Žilina
Stredná odborná škola pre žiakov s telesným postihnutím,Bratislava-Karlova Ves
Stredná odborná škola pri Reedukačnom centre,Zlaté Moravce
Stredná odborná škola priemyselných technológii,Košice-Šaca
Stredná odborná škola priemyselných technológií,Púchov
Stredná odborná škola regionálneho rozvoja a Stredná odborná škola záhradnícka,Rakovice
Stredná odborná škola remesiel,Považská Bystrica
Stredná odborná škola remesiel a služieb,Poprad
Stredná odborná škola rozvoja vidieka s vyučovacím jazykom maďarským - Vidékfejlesztési Szakközépiskola a Stredná športo,Dunajská Streda
"Stredná odborná škola s vyučovacím jazykom maďarským - Szakközépiskola,  ako organizačná zložka Spojenej školy",Rožňava
Stredná odborná škola služieb (Levice),Levice
Stredná odborná škola služieb (Prešov),Prešov
Stredná odborná škola služieb a priemyslu sv. Jozafáta,Trebišov
Stredná odborná škola služieb Majstra Pavla,Levoča
Stredná odborná škola stavebná (Nitra),Nitra
Stredná odborná škola stavebná (Žilina),Žilina
Stredná odborná škola stavebná - Építészeti Szakközépiskola,Nové Zámky
Stredná odborná škola stavebná a Stredná odborná škola agropotravinárska a technická,Liptovský Mikuláš
Stredná odborná škola strojnícka (Bánovce nad Bebravou),Bánovce nad Bebravou
Stredná odborná škola strojnícka (Kysucké Nové Mesto),Kysucké Nové Mesto
Stredná odborná škola strojnícka (Považská Bystrica),Považská Bystrica
Stredná odborná škola strojnícka (Skalica),Skalica
Stredná odborná škola sv. Cyrila a Metoda,Michalovce
Stredná odborná škola sv. Jozefa Robotníka,Žilina
Stredná odborná škola technická (Bratislava-Petržalka),Bratislava-Petržalka
Stredná odborná škola technická (Dubnica nad Váhom),Dubnica nad Váhom
Stredná odborná škola technická (Hlohovec),Hlohovec
Stredná odborná škola technická (Humenné),Humenné
Stredná odborná škola technická (Košice-Juh),Košice-Juh
Stredná odborná škola technická (Michalovce),Michalovce
Stredná odborná škola technická (Námestovo),Námestovo
Stredná odborná škola technická (Piešťany),Piešťany
Stredná odborná škola technická (Poprad),Poprad
Stredná odborná škola technická (Prešov),Prešov
Stredná odborná škola technická (Rožňava),Rožňava
Stredná odborná škola technická (Tlmače),Tlmače
Stredná odborná škola technická (Vráble),Vráble
Stredná odborná škola technická (Zlaté Moravce),Zlaté Moravce
Stredná odborná škola technická (Čadca),Čadca
Stredná odborná škola technická (Šurany),Šurany
Stredná odborná škola technická - Múszaki Szakközépiskola (Dunajská Streda),Dunajská Streda
Stredná odborná škola technická - Múszaki Szakközépiskola (Galanta),Galanta
Stredná odborná škola technická - Műszaki Szakközépiskola,Komárno
"Stredná odborná škola technická a agropotravinárska - Műszaki, Mezőgazdasági és Élelmiszeripari Szakközépiskola",Rimavská Sobota
Stredná odborná škola technická a ekonomická Jozefa Szakkayho - Szakkay József Műszaki és Közgazdasági Szakközépiskola,Košice-Staré Mesto
Stredná odborná škola techniky a mechanizácie - Műszaki és Gépesítési Szakközépiskola,Hurbanovo
Stredná odborná škola techniky a remesiel - Műszaki Szakok és Mesterségek Szakközépiskola,Kráľovský Chlmec
Stredná odborná škola techniky a služieb (Brezno),Brezno
Stredná odborná škola techniky a služieb (Nitra),Nitra
Stredná odborná škola techniky a služieb (Topoľčany),Topoľčany
"Stredná odborná škola techniky a služieb a Stredná priemyselná škola strojnícka a elektrotechnická, Pod amfiteátrom 7, L",Levice
Stredná odborná škola technológií a remesiel,Bratislava-Ružinov
Stredná odborná škola veterinárna (Košice-Barca),Košice-Barca
Stredná odborná škola veterinárna (Nitra),Nitra
Stredná odborná škola vinársko - ovocinárska,Modra
Stredná odborná škola železničná,Košice-Staré Mesto
Stredná priemyselná škola (Dubnica nad Váhom),Dubnica nad Váhom
Stredná priemyselná škola (Myjava),Myjava
Stredná priemyselná škola (Nové Mesto nad Váhom),Nové Mesto nad Váhom
Stredná priemyselná škola (Považská Bystrica),Považská Bystrica
Stredná priemyselná škola (Snina),Snina
Stredná priemyselná škola (Stará Turá),Stará Turá
Stredná priemyselná škola dopravná (Bratislava-Ružinov),Bratislava-Ružinov
Stredná priemyselná škola dopravná (Košice-Staré Mesto),Košice-Staré Mesto
Stredná priemyselná škola dopravná (Trnava),Trnava
Stredná priemyselná škola dopravná (Zvolen),Zvolen
Stredná priemyselná škola elektrotechnická (Bratislava-Dúbravka),Bratislava-Dúbravka
Stredná priemyselná škola elektrotechnická (Bratislava-Petržalka),Bratislava-Petržalka
Stredná priemyselná škola elektrotechnická (Bratislava-Staré Mesto),Bratislava-Staré Mesto
Stredná priemyselná škola elektrotechnická (Košice-Sever),Košice-Sever
Stredná priemyselná škola elektrotechnická (Piešťany),Piešťany
Stredná priemyselná škola elektrotechnická (Prešov),Prešov
Stredná priemyselná škola informačných technológií a Gymnázium,Kysucké Nové Mesto
Stredná priemyselná škola informačných technológií a umelej inteligencie Skyro,Bratislava-Podunajské Bis
"Stredná priemyselná škola informačných technológií Ignáca Gessaya, Stredná odborná škola lesnícka a Gymnázium",Tvrdošín
Stredná priemyselná škola Jozefa Murgaša,Banská Bystrica
Stredná priemyselná škola stavebná (Nitra),Nitra
Stredná priemyselná škola stavebná (Prešov),Prešov
Stredná priemyselná škola stavebná (Žilina),Žilina
Stredná priemyselná škola stavebná - Építőipari Szakközépiskola,Hurbanovo
Stredná priemyselná škola stavebná a geodetická (Bratislava-Ružinov),Bratislava-Ružinov
Stredná priemyselná škola stavebná a geodetická (Košice-Staré Mesto),Košice-Staré Mesto
Stredná priemyselná škola stavebná Dušana Samuela Jurkoviča,Trnava
Stredná priemyselná škola stavebná Emila Belluša,Trenčín
Stredná priemyselná škola stavebná Oskara Winklera - Winkler Oszkár Építőipari Szakközépiskola a Stredná odborná škola t,Lučenec
Stredná priemyselná škola strojnícka (Bratislava-Staré Mesto),Bratislava-Staré Mesto
Stredná priemyselná škola strojnícka (Košice-Staré Mesto),Košice-Staré Mesto
Stredná priemyselná škola strojnícka (Prešov),Prešov
Stredná priemyselná škola strojnícka a elektrotechnická,Nitra
Stredná priemyselná škola strojnícka a elektrotechnická - Gépipari és Elektrotechnikai Szakközépiskola,Komárno
Stredná priemyselná škola technická (Bardejov),Bardejov
Stredná priemyselná škola technická (Martin),Martin
Stredná priemyselná škola technická (Spišská Nová Ves),Spišská Nová Ves
Stredná priemyselná škola technická (Trnava),Trnava
Stredná priemyselná škola techniky a dizajnu,Poprad
Stredná zdravotnícka škola (Banská Bystrica),Banská Bystrica
Stredná zdravotnícka škola (Bratislava-Petržalka),Bratislava-Petržalka
Stredná zdravotnícka škola (Bratislava-Ružinov),Bratislava-Ružinov
Stredná zdravotnícka škola (Dolný Kubín),Dolný Kubín
Stredná zdravotnícka škola (Humenné),Humenné
Stredná zdravotnícka škola (Košice-Juh),Košice-Juh
Stredná zdravotnícka škola (Košice-Staré Mesto),Košice-Staré Mesto
Stredná zdravotnícka škola (Liptovský Mikuláš),Liptovský Mikuláš
Stredná zdravotnícka škola (Lučenec),Lučenec
Stredná zdravotnícka škola (Michalovce),Michalovce
Stredná zdravotnícka škola (Nitra),Nitra
Stredná zdravotnícka škola (Poprad),Poprad
Stredná zdravotnícka škola (Považská Bystrica),Považská Bystrica
Stredná zdravotnícka škola (Prešov),Prešov
Stredná zdravotnícka škola (Prievidza),Prievidza
Stredná zdravotnícka škola (Skalica),Skalica
Stredná zdravotnícka škola (Trnava),Trnava
Stredná zdravotnícka škola (Zvolen),Zvolen
Stredná zdravotnícka škola (Žilina),Žilina
Stredná zdravotnícka škola - Egészségugyi Középiskola,Dunajská Streda
Stredná zdravotnícka škola - Egészségügyi Középiskola (Nové Zámky),Nové Zámky
Stredná zdravotnícka škola - Egészségügyi Középiskola (Rožňava),Rožňava
Stredná zdravotnícka škola Celestíny Šimurkovej v Trenčíne,Trenčín
Stredná zdravotnícka škola M. T. Schererovej,Ružomberok
Stredná zdravotnícka škola milosrdného Samaritána,Svidník
Stredná zdravotnícka škola sv. Alžbety,Košice-Staré Mesto
Stredná zdravotnícka škola sv. Bazila Veľkého,Prešov
Stredná zdravotnícka škola sv. Františka z Assisi,Čadca
Stredná zdravotnícka škola sv. Vincenta de Paul,Topoľčany
Stredná zdravotnícka škola Štefana Kluberta,Levoča
Stredná športová škola (Banská Bystrica),Banská Bystrica
Stredná športová škola (Košice-Západ),Košice-Západ
Stredná športová škola (Poprad),Poprad
Stredná športová škola (Trenčín),Trenčín
Stredná športová škola (Žilina),Žilina
Stredná športová škola ako organizačná zložka Spojenej školy,Bratislava-Ružinov
Súkromná hotelová akadémia (Banská Štiavnica),Banská Štiavnica
Súkromná hotelová akadémia (Považská Bystrica),Považská Bystrica
Súkromná hotelová akadémia - Dufincova,Michalovce
Súkromná hotelová akadémia SD Jednota,Šamorín
Súkromná obchodná akadémia (Bratislava-Petržalka),Bratislava-Petržalka
Súkromná obchodná akadémia (Považská Bystrica),Považská Bystrica
Súkromná obchodná akadémia (Prešov),Prešov
Súkromná obchodná akadémia DSA,Žiar nad Hronom
Súkromná obchodná akadémia Profi - Kamo,Bratislava-Podunajské Bis
Súkromná praktická škola (Košice-Myslava),Košice-Myslava
Súkromná praktická škola (Žilina),Žilina
Súkromná praktická škola ako organizačná zložka Súkromnej spojenej školy (Detva),Detva
Súkromná praktická škola ako organizačná zložka Súkromnej spojenej školy (Klokočov),Klokočov
Súkromná praktická škola ako organizačná zložka Súkromnej spojenej školy (Prešov),Prešov
Súkromná SOŠ automobilová Duálna akadémia,Bratislava-Devínska Nová
Súkromná spojená škola (Kolárovo),Kolárovo
Súkromná spojená škola (Martin),Martin
Súkromná spojená škola (Štúrovo),Štúrovo
Súkromná Spojená škola EDUCO,Námestovo
Súkromná spojená škola EDURAM,Krompachy
Súkromná spojená škola Železiarne Podbrezová,Podbrezová
"Súkromná spojená škola, Biela voda",Kežmarok
Súkromná stredná odborná  škola ochrany osôb a majetku,Bratislava-Petržalka
Súkromná stredná odborná škola  Magán Szakkozépiskola,Rimavská Sobota
Súkromná stredná odborná škola (Bratislava-Ružinov),Bratislava-Ružinov
Súkromná stredná odborná škola (Bytča),Bytča
Súkromná stredná odborná škola (Giraltovce),Giraltovce
Súkromná stredná odborná škola (Hliník nad Hronom),Hliník nad Hronom
Súkromná stredná odborná škola (Košice-Nad jazerom),Košice-Nad jazerom
Súkromná stredná odborná škola (Poprad),Poprad
Súkromná stredná odborná škola (Revúca),Revúca
Súkromná stredná odborná škola (Trebišov),Trebišov
Súkromná stredná odborná škola (Trenčín),Trenčín
Súkromná stredná odborná škola (Žilina),Žilina
Súkromná stredná odborná škola - Gastroškola,Bratislava-Podunajské Bis
Súkromná stredná odborná škola - Magán Szakközépiskola,Sládkovičovo
Súkromná stredná odborná škola ADVENTIM - Magán Szakközépiskola ADVENTIM,Dunajská Streda
Súkromná stredná odborná škola ANIMUS,Nitra
Súkromná stredná odborná škola DSA (Trebišov),Trebišov
Súkromná stredná odborná škola DSA (Trnava),Trnava
Súkromná stredná odborná škola ekonomicko-technická,Košice-Dargovských hrdino
Súkromná stredná odborná škola ekonomická KOŠICKÁ AKADÉMIA,Košice-Staré Mesto
Súkromná stredná odborná škola ELBA,Prešov
Súkromná stredná odborná škola HOST,Bratislava-Nové Mesto
Súkromná stredná odborná škola hotelierstva a gastronómie Mladosť,Prešov
Súkromná stredná odborná škola Johannes Senio Service,Bratislava-Petržalka
Súkromná stredná odborná škola Nová cesta Magán Szakközépiskola Új út,Malčice
Súkromná stredná odborná škola obchodu a služieb,Očová
Súkromná stredná odborná škola obchodu a služieb s vyučovacím jazykom maďarským - Magán Kereskedelmi és Szolgáltatóipari,Bátorove Kosihy
"Súkromná stredná odborná škola obchodu a služieb, s vyučovacím jazykom maďarským - Magán Kereskedelmi és Szolgáltatóipar",Mostová
Súkromná stredná odborná škola PAMIKO,Košice-Juh
Súkromná stredná odborná škola pedagogická (Bratislava-Podunajské Bis),Bratislava-Podunajské Bis
Súkromná stredná odborná škola pedagogická (Topoľčany),Topoľčany
Súkromná stredná odborná škola pedagogická a sociálna (Bratislava-Karlova Ves),Bratislava-Karlova Ves
Súkromná stredná odborná škola pedagogická a sociálna (Košice-Juh),Košice-Juh
Súkromná stredná odborná škola pedagogická EBG (Brezno),Brezno
Súkromná stredná odborná škola pedagogická EBG (Humenné),Humenné
Súkromná stredná odborná škola podnikania (Ružomberok),Ružomberok
Súkromná stredná odborná škola podnikania (Senica),Senica
Súkromná stredná odborná škola podnikania (Zvolen),Zvolen
Súkromná stredná odborná škola polytechnická DSA,Nitra
Súkromná stredná odborná škola Pro scholaris,Žilina
Súkromná stredná odborná škola s vyučovacím jazykom maďarským - Magyar Tannyelvü Magán Szakközépiskola,Dunajská Streda
Súkromná stredná odborná škola SD Jednota,Šamorín
Súkromná stredná odborná škola služieb (Bardejov),Bardejov
Súkromná stredná odborná škola služieb (Poprad),Poprad
Súkromná stredná odborná škola technická,Žiar nad Hronom
Súkromná stredná odborná škola veterinárna,Bratislava-Dúbravka
Súkromná stredná odborná škola VIA HUMANA,Skalica
Súkromná stredná športová škola (Bratislava-Petržalka),Bratislava-Petržalka
Súkromná stredná športová škola (Košice-Juh),Košice-Juh
Súkromná stredná športová škola (Trenčianske Teplice),Trenčianske Teplice
Súkromná stredná športová škola (Zvolen),Zvolen
Súkromná stredná športová škola EISB,Bratislava-Ružinov
Súkromná stredná športová škola ELBA,Prešov
Súkromná stredná športová škola GAUDEAMUS,Bratislava-Podunajské Bis
Súkromná škola umeleckého priemyslu (Hodruša-Hámre),Hodruša-Hámre
Súkromná škola umeleckého priemyslu (Nitra),Nitra
Súkromná škola umeleckého priemyslu (Topoľčany),Topoľčany
Súkromná škola umeleckého priemyslu (Zvolen),Zvolen
Súkromná škola umeleckého priemyslu (Žilina),Žilina
Súkromná škola umeleckého priemyslu a vizuálneho umenia,Zvolen
Súkromná škola umeleckého priemyslu animovanej tvorby,Bratislava-Petržalka
Súkromná škola umeleckého priemyslu Bohumila Baču,Bratislava-Ružinov
Súkromná škola umeleckého priemyslu filmová,Košice-Západ
Súkromné bilingválne gymnázium (Galanta),Galanta
Súkromné bilingválne gymnázium (Ružomberok),Ružomberok
Súkromné bilingválne gymnázium BESST,Trnava
Súkromné bilingválne gymnázium Co.Bra.,Bratislava-Staré Mesto
Súkromné bulharské gymnázium Christa Boteva,Bratislava-Petržalka
Súkromné gymnázium (Bratislava-Nové Mesto),Bratislava-Nové Mesto
Súkromné gymnázium (Bratislava-Petržalka),Bratislava-Petržalka
Súkromné gymnázium (Bratislava-Vrakuňa),Bratislava-Vrakuňa
Súkromné gymnázium (Košice-Nad jazerom),Košice-Nad jazerom
Súkromné gymnázium (Košice-Západ),Košice-Západ
Súkromné gymnázium (Kremnica),Kremnica
Súkromné gymnázium (Lučenec),Lučenec
Súkromné gymnázium (Žilina),Žilina
Súkromné gymnázium ako organizačná zložka Spojenej školy,Poprad
Súkromné gymnázium ako organizačná zložka Súkromnej spojenej školy,Košice-Košická Nová Ves
Súkromné gymnázium ako organizačná zložka Súkromnej spojenej školy European English School,Prešov
Súkromné gymnázium Banskobystrické,Banská Bystrica
"Súkromné gymnázium British International School Bratislava, ako organizačná zložka Súkromnej spojenej školy British Inte",Bratislava-Dúbravka
"Súkromné gymnázium Cambridge International School,  ako organizačná zložka Súkromnej spojenej školy Cambridge Internatio",Bratislava-Staré Mesto
Súkromné gymnázium DSA,Bardejov
Súkromné Gymnázium DSA,Sabinov
Súkromné gymnázium ESPRIT,Bratislava-Karlova Ves
Súkromné gymnázium FELIX,Bratislava-Karlova Ves
Súkromné Gymnázium francúzsko-slovenské ako organizačná zložka Súkromnej spojenej školy francúzsko-slovenskej,Bratislava-Petržalka
Súkromné gymnázium FUTURUM (Košice-Staré Mesto),Košice-Staré Mesto
Súkromné gymnázium FUTURUM (Trenčín),Trenčín
Súkromné gymnázium GALILEO SCHOOL,Bratislava-Podunajské Bis
Súkromné gymnázium MERCURY,Bratislava-Petržalka
Súkromné gymnázium nemecko-slovenské,Bratislava-Nové Mesto
Súkromné gymnázium pre žiakov so všeobecným intelektovým nadaním CENADA,Bratislava-Karlova Ves
Súkromné gymnázium Quality Schools International ako organizačná zložka Súkromnej spojenej školy Quality Schools Interna,Šamorín
Súkromné gymnázium s vyučovacím jazykom maďarským - Magyar Tanítási Nyelvu Magángimnázium,Dunajská Streda
"Súkromné gymnázium, ako organizačná zložka Súkromnej spojenej školy Kings Schools International",Bratislava-Nové Mesto
Súkromné hudobné a dramatické konzervatórium (Košice-Juh),Košice-Juh
Súkromné hudobné a dramatické konzervatórium (Rimavská Sobota),Rimavská Sobota
Súkromné konzervatórium (Košice-Staré Mesto),Košice-Staré Mesto
Súkromné konzervatórium (Nitra),Nitra
Súkromné konzervatórium (Zvolen),Zvolen
Súkromné konzervatórium ALKANA,Bratislava-Dúbravka
Súkromné konzervatórium Dezidera Kardoša,Topoľčany
Súkromné konzervatórium Prešov,Prešov
Súkromné odborné učilište,Stropkov
Súkromné odborné učilište ELBA,Svinia
Súkromné tanečné konzervatórium,Liptovský Hrádok
Súkromné tanečné konzervatórium Dušana Nebylu,Trnava
Tanečné konzervatórium Evy Jaczovej,Bratislava-Staré Mesto
Základná škola a GYMNÁZIUM s vyučovacím jazykom maďarským - Magyar Tannyelvű Alapiskola és Gimnázium,Bratislava-Staré Mesto
Škola umeleckého priemyslu (Bratislava-Ružinov),Bratislava-Ružinov
Škola umeleckého priemyslu (Kežmarok),Kežmarok
Škola umeleckého priemyslu (Košice-Staré Mesto),Košice-Staré Mesto
Škola umeleckého priemyslu (Prešov),Prešov
Škola umeleckého priemyslu (Ružomberok),Ružomberok
Škola umeleckého priemyslu (Svidník),Svidník
Škola umeleckého priemyslu (Trenčín),Trenčín
Škola umeleckého priemyslu Josefa Vydru,Bratislava-Karlova Ves
Škola umeleckého priemyslu Ladislava Bielika,Levice
